id,zone,area,averageDistanceKm,deliveryCost,customerDeliveryFee,freeDeliveryValue,createdAt,updatedAt,subArea
zone_1779115618289_ghe0y6qhg,6,حلوان,58,105,105,2300,2026-05-18 14:46:58.289+00,2026-06-16 12:45:25.234+00,المعصرة
zone_1779115658006_od2hzwgrp,6,حلوان,58.4,105,105,2300,2026-05-18 14:47:38.006+00,2026-06-16 12:45:25.234+00,حدائق حلوان
zone_1779115792888_u3bqjxxir,5,المعادى,48.8,55,55,1800,2026-05-18 14:49:52.888+00,2026-06-16 12:45:25.234+00,حدائق المعادي
zone_1779115884040_banpsmqwc,4,دجله,36.8,85,85,1400,2026-05-18 14:51:24.04+00,2026-06-16 12:45:25.234+00,عمارات السعودية
zone_1779116126785_ql6py7tc1,2,القطامية,20,40,40,900,2026-05-18 14:55:26.785+00,2026-06-16 12:45:25.234+00,قطامية
zone_1779116126785_xp3lu3pnd,2,القطامية,20,40,40,900,2026-05-18 14:55:26.785+00,2026-06-16 12:45:25.234+00,قطامية هايتس
zone_1779116313038_6zt9n72tl,7,دجله,60.4,85,85,1400,2026-05-18 14:58:33.038+00,2026-06-16 12:45:25.234+00,مؤمن
zone_1779116313038_9s0xxgw8x,6,دجله,50.3,85,85,1400,2026-05-18 14:58:33.038+00,2026-06-16 12:45:25.234+00,صقر قريش
zone_1779116313038_ftsot9laf,6,دجله,51.8,85,85,1400,2026-05-18 14:58:33.038+00,2026-06-16 12:45:25.234+00,نيركو
zone_1779116313038_k2k7c2208,6,دجله,52,85,85,1400,2026-05-18 14:58:33.038+00,2026-06-16 12:45:25.234+00,اللاسلكي
zone_1779118969315_o2tdhj6s4,7,حلوان,64.4,105,105,2300,2026-05-18 15:42:49.315+00,2026-06-16 12:45:25.234+00,طرة الاسمنت
zone_1779119147119_e1blxgmmz,8,المهندسين,73.4,100,100,1800,2026-05-18 15:45:47.119+00,2026-06-16 12:45:25.234+00,العجوزة
zone_1779119147119_fquekeeq6,6,المهندسين,60,100,100,1800,2026-05-18 15:45:47.119+00,2026-06-16 12:45:25.234+00,الوراق
zone_1779119147119_krnb8w7ft,7,المهندسين,67,100,100,1800,2026-05-18 15:45:47.119+00,2026-06-16 12:45:25.234+00,الدقي
zone_1779119147119_ybhykf7ky,6,المهندسين,60,100,100,1800,2026-05-18 15:45:47.119+00,2026-06-16 12:45:25.234+00,الكيت كات
zone_1779119239152_4q264krhj,6,المهندسين,57.4,100,100,1800,2026-05-18 15:47:19.152+00,2026-06-16 12:45:25.234+00,الزمالك
zone_1779119239152_wu6ao1y59,6,المهندسين,58,100,100,1800,2026-05-18 15:47:19.152+00,2026-06-16 12:45:25.234+00,رملة بولاق
zone_1779173763836_kfdyoxzhr,1,التجمع الخامس,10.2,40,40,900,2026-05-19 06:56:03.836+00,2026-06-16 12:45:25.234+00,المستثمرين
zone_1779173849475_thxoemb79,1,التجمع الخامس,10.4,40,40,900,2026-05-19 06:57:29.475+00,2026-06-16 12:45:25.234+00,جاردينيا هايتس
zone_1779174044280_1mn8ezxj6,1,التجمع الخامس,11.4,40,40,900,2026-05-19 07:00:44.279+00,2026-06-16 12:45:25.234+00,تجمع ثالث
zone_1779174044280_6ibtn27ka,1,التجمع الخامس,11.6,40,40,900,2026-05-19 07:00:44.279+00,2026-06-16 12:45:25.234+00,الشويفات
zone_1779174044280_73tx0cvw2,1,التجمع الخامس,12.2,40,40,900,2026-05-19 07:00:44.279+00,2026-06-16 12:45:25.234+00,لاميرادا
zone_1779174044280_ckwkx6bf5,1,التجمع الخامس,11.8,40,40,900,2026-05-19 07:00:44.279+00,2026-06-16 12:45:25.234+00,ريفيرا
zone_1779174044280_hmprssp0c,1,التجمع الخامس,12.2,40,40,900,2026-05-19 07:00:44.279+00,2026-06-16 12:45:25.234+00,الزهوة
zone_1779174044280_oxhp7z69k,1,التجمع الخامس,11,40,40,900,2026-05-19 07:00:44.279+00,2026-06-16 12:45:25.234+00,إيتاج
